frame,x_raw,y_raw,r,sig_raw,peak,mass,mean,std,A,x,y,sig_x,sig_y,phi,area,dist_err,sigx_to_sigraw,sigy_to_sigraw
0,500.0,525.0,4.0,4.0,163,7963,98.30864197530865,34.37830279542666,165.58466426404362,500.4845899067998,524.681133548321,3.3589369600644385,3.462118318604281,1.9001021777542881,36.53369777450618,0.5800889516087923,0.8397342400161096,0.8655295796510702
0,500.0,475.0,2.0,2.0,134,2296,91.84,26.080920229163695,139.13743643167442,500.4750425782755,474.63429111314963,2.2007742114785684,2.1574315053176694,2.682222780616473,14.916343557086472,0.5995068315674066,1.1003871057392842,1.0787157526588347
0,500.0,425.0,4.0,4.0,131,6635,81.91358024691358,28.091647865058125,136.53467128876338,500.28793393084686,424.8704248415692,3.597064961135743,3.286580919925212,-6.523419662749629,37.140049939178645,0.3157462117196144,0.8992662402839358,0.821645229981303
0,500.0,374.0,3.0,3.0,202,6330,129.18367346938774,41.50223670854072,208.25195155512057,499.98218406318784,374.503140714532,2.8526477990055783,2.7261116213249594,-0.35235302650196365,24.431023521292644,0.5034560419979549,0.9508825996685261,0.9087038737749865
0,500.0,324.0,4.0,4.0,121,5900,72.8395061728395,24.078296559105535,119.2930634291144,499.6877453681369,324.0948741690702,3.77411467489721,3.2488125195187325,-0.6973374879359131,38.520295906944455,0.326349602537995,0.9435286687243025,0.8122031298796831
0,500.0,275.0,2.0,2.0,127,2213,88.52,22.54261741679524,129.63341534373944,499.65886882244916,274.7046630228966,2.143637818411561,2.3759890636777787,1.7336930582988,16.000948239763865,0.451214372933508,1.0718189092057806,1.1879945318388894
0,461.0,525.0,2.0,2.0,98,1557,62.28,18.883897902710657,98.71630374974139,460.70629810782793,524.9794251021408,1.8509631602757366,2.198194809099799,2.0561294803176757,12.78244185103252,0.29442168379276834,0.9254815801378683,1.0990974045498996
0,460.0,475.0,3.0,3.0,135,4319,88.14285714285714,26.565283467606474,137.6456104503889,460.24561675153683,474.6314844042319,3.0868605943645204,2.720773694722446,8.411801822419177,26.38513432653154,0.44286717304380685,1.0289535314548401,0.9069245649074821
0,460.0,425.0,2.0,2.0,154,2676,107.04,26.292934412119163,156.34252811872022,460.2009891260891,424.68596899053944,2.127939920401436,2.3795300928154477,0.12233898590955258,15.907445216372844,0.3728432696306588,1.063969960200718,1.1897650464077238
0,460.0,375.0,3.0,3.0,181,5855,119.48979591836735,35.48447343642557,186.77559426099788,460.2037807532251,374.62261981637613,2.74370414976806,3.036613163740595,-3.6180948165207765,26.174393257094057,0.42888506429691736,0.9145680499226866,1.0122043879135316
0,460.0,325.0,2.0,2.0,104,1719,68.76,18.452707118469096,103.91919723479195,459.94878007465815,324.6213996171642,2.083431039399588,2.204993195024133,-3.8495468957464323,14.432323542491611,0.3820493824565881,1.041715519699794,1.1024965975120664
0,460.0,275.0,2.0,2.0,120,2107,84.28,21.944511842371885,124.39752512788534,459.72336697143425,274.59094996628727,2.1687929645292505,2.3066482388862233,-25.730585345761813,15.71626483901202,0.4938094395349768,1.0843964822646253,1.1533241194431116
0,421.0,525.0,3.5,3.5,104,4218,52.074074074074076,23.753246836038485,101.38629461090818,420.5818666789139,524.6015116448608,2.900196398336455,3.015415243333693,0.5516988140693546,27.474159012314587,0.5776057854488835,0.8286275423818443,0.8615472123810551
0,420.0,475.0,4.0,4.0,189,9390,115.92592592592592,38.5633286361627,191.72072146981634,420.1799594590513,474.8615052779246,3.3678361994449446,3.5474230628425762,1.77906026990612,37.5330466452709,0.22708191241219153,0.8419590498612362,0.8868557657106441
0,420.0,425.0,4.0,4.0,192,9068,111.95061728395062,38.033741106837276,187.42999860514863,420.1952562169218,424.9019769498409,3.541128278427828,3.2788669350628354,10.373940808683237,36.476681777483066,0.21847999590146225,0.885282069606957,0.8197167337657089
0,420.0,375.0,2.0,2.0,181,3014,120.56,32.57002302731762,183.32272847125367,420.1792943939699,374.7641964980959,2.191752240943793,2.0448619079305903,-3.556255287899607,14.080086304764292,0.2962258787129709,1.0958761204718965,1.0224309539652952
0,420.0,325.0,2.0,2.0,105,1798,71.92,17.26249112961394,105.25002065628719,420.07903984227727,325.0460615679899,2.08072243962893,2.3670722525170502,-0.055061189251991535,15.47303607526479,0.09148204585001622,1.040361219814465,1.1835361262585251
0,419.0,275.0,2.0,2.0,93,1540,61.6,17.668050260286222,93.66485054832422,419.3873884347666,275.2177703392175,1.983767010675137,2.331390144162389,2.8313977358937756,14.529661370090412,0.44440265529564416,0.9918835053375685,1.1656950720811945
0,381.0,425.0,2.0,2.0,153,2515,100.6,29.362561196189954,156.0377139385015,380.53281265355474,424.9971415768606,2.1333271199113955,2.039952557973332,-0.5687746142498563,13.67185344895123,0.46719609080278574,1.0666635599556977,1.019976278986666
0,380.0,525.0,3.0,3.0,171,5249,107.12244897959184,34.61486801766042,173.39157316284218,380.45703218242807,525.017090521731,2.7314791308826347,2.8071379008729185,6.804454483736909,24.088597076487922,0.45735161714811773,0.9104930436275449,0.9357126336243061
0,380.0,475.0,4.0,4.0,183,8617,106.38271604938272,36.84253040908107,178.72611138252708,380.4489249118289,475.0565636652617,3.4872102622499583,3.331328154458443,3.8262702030315703,36.49601294645957,0.4524743359445052,0.8718025655624896,0.8328320386146107
0,380.0,375.0,4.0,4.0,158,7690,94.93827160493827,32.12757965970092,157.73384655257243,380.156152019217,374.9265310625709,3.2101384703488756,3.697799050604372,-0.3606273432588464,37.29210905221681,0.17257212368314453,0.8025346175872189,0.924449762651093
